Question,Answer
What is sugar disease?,"Sugar disease is another name for diabetes. It's a condition where your body has trouble controlling blood sugar levels. When you eat food, your body turns it into sugar (glucose) for energy, but with diabetes, this sugar stays in your blood instead of going into your cells."
My sugar is high what to do?,"If your sugar is high: 1) Drink plenty of water to help flush it out. 2) Go for a 15-30 minute walk if you feel okay. 3) Don't eat sugary foods or drinks. 4) Take your medicine if the doctor gave you any. 5) If sugar stays very high (over 300) or you feel sick, see a doctor right away."
My sugar is low what to do?,"If your sugar is low: Eat or drink something with sugar quickly - like fruit juice, candy, or glucose tablets. Wait 15 minutes and check again. If still low, eat more sugar. Once you feel better, eat a proper meal with protein. If you faint or can't swallow, someone should call for emergency help."
How do I know if I have sugar problem?,"Signs of sugar problem (diabetes): You feel very thirsty all the time, need to pee a lot especially at night, feel very tired, lose weight without trying, your cuts don't heal fast, your vision gets blurry, and you feel hungry even after eating. See a doctor for a blood test to confirm."
What sugar level is normal?,"Normal sugar levels: Before eating (fasting) should be 70-99 mg/dL. After eating (2 hours) should be under 140 mg/dL. If your fasting sugar is 100-125, you have pre-diabetes. If it's 126 or higher, you have diabetes. Get tested by a doctor to know your exact levels."
Can I eat rice if I have sugar?,"Yes, you can eat rice but in small amounts. Choose brown rice instead of white rice - it's better for sugar control. Don't eat too much at one time (about half a cup cooked). Eat rice with vegetables and meat/fish to slow down sugar rise. Check your sugar after eating to see how your body reacts."
Can I eat banana if I have sugar?,"Bananas have a lot of natural sugar, so eat them carefully. It's better to choose other fruits like apples, oranges, or berries which have less sugar. If you really want banana, eat only half and pair it with some nuts or cheese. Always check your sugar after to see how it affects you."
Can I eat mango with diabetes?,"Mangoes are high in natural sugar, so be careful. If you want to eat mango, have only a small piece (2-3 slices), not a whole mango. Eat it as part of a meal, not alone. Better fruit choices are berries, apples, and oranges. Monitor your sugar after eating to understand your body's reaction."
What should diabetic person eat?,"Good foods for sugar patients: Vegetables like spinach, cabbage, beans, and tomatoes. Whole grains like brown rice and whole wheat roti. Proteins like fish, chicken, eggs, dal, and paneer. Healthy fats from nuts and seeds. Low-sugar fruits like berries and apples. Avoid white rice, white bread, sweets, and sugary drinks."
What food increases sugar fast?,"Foods that increase sugar quickly: White rice, white bread, maida products, sweets, candy, soft drinks, fruit juices, potatoes, sugary breakfast cereals, and anything made with white sugar. These foods should be avoided or eaten in very small amounts if you have diabetes."
How to reduce sugar in body?,"To reduce sugar: 1) Walk or exercise for 30 minutes daily. 2) Drink plenty of water. 3) Eat more vegetables and less rice/bread. 4) Stop eating sweets and drinking soft drinks. 5) Take your medicine regularly. 6) Reduce stress with deep breathing or prayer. 7) Get enough sleep (7-8 hours)."
Why does sugar increase?,"Sugar can increase because of: eating too much rice, bread, or sweets; not exercising; missing your medicine; being stressed or worried; not sleeping well; being sick with fever or infection; and sometimes for no clear reason. Keep a food diary to find out what makes YOUR sugar go up."
Is diabetes serious?,"Yes, diabetes is serious if not controlled. High sugar over time can damage your eyes (blindness), kidneys (kidney failure), heart (heart attack), nerves (numbness in feet), and cause wounds that don't heal. But with proper diet, exercise, and medicine, you can live a normal healthy life."
Can sugar be cured?,"Type 2 diabetes (the common type) cannot be fully cured, but it can be controlled or even reversed with weight loss and healthy lifestyle. Some people who lose a lot of weight and eat healthy no longer need medicine. Type 1 diabetes cannot be cured and needs insulin for life."
How does walking help sugar?,"Walking helps sugar by: making your body use sugar for energy (lowers blood sugar), making insulin work better in your body, helping you lose weight, reducing stress, and keeping your heart healthy. Walk for 30 minutes daily, especially after meals. Even a 15-minute walk after eating helps."
How much water should diabetic drink?,"Diabetics should drink 8-10 glasses of water daily (about 2-3 liters). Water helps flush out extra sugar through urine, keeps you hydrated, and helps your kidneys work properly. Don't replace water with juice or soft drinks. Plain water, unsweetened tea, or lemon water are best choices."
Can I eat sweets sometimes?,"Having sweets occasionally is okay, but plan for it: eat a small portion only, skip other carbs (rice/bread) in that meal, take a walk after eating, and check your sugar later. Save sweets for special occasions only, not daily. Sugar-free sweets are a better option if available."
What medicine is used for sugar?,"Common sugar medicines: Metformin (most common, helps body use insulin better), Glimepiride and Glipizide (help pancreas make more insulin), and Insulin injections (for those who need it). Your doctor will decide which medicine is best for you based on your sugar levels and health."
Can diabetes happen in children?,"Yes, diabetes can happen in children. Type 1 diabetes (where body can't make insulin) usually starts in childhood. Type 2 diabetes (lifestyle-related) is also increasing in children due to unhealthy food and less exercise. If your child is always thirsty, peeing a lot, or losing weight, get them tested."
Does sugar run in families?,"Yes, diabetes can run in families. If your parents or siblings have diabetes, you have higher chance of getting it. But it's not 100% - lifestyle matters more. Even with family history, you can prevent or delay diabetes by maintaining healthy weight, eating well, and exercising regularly."
What is insulin?,"Insulin is a hormone (a chemical messenger) made by your pancreas that helps sugar from food enter your cells for energy. Without insulin, sugar stays in your blood making levels high. Type 1 diabetics can't make insulin. Type 2 diabetics either don't make enough or their body doesn't use it well."
Do I need insulin?,"Not everyone with diabetes needs insulin. Most Type 2 diabetics control sugar with diet, exercise, and tablets. Insulin is needed if: you have Type 1 diabetes, tablets aren't working well enough, your sugar is very high, you're pregnant, or you have kidney problems. Your doctor will decide."
How often to check sugar?,"How often to check depends on your situation: Type 1 diabetics check 4-10 times daily. Type 2 on tablets may check once or twice daily or few times a week. Always check when you feel unwell, before driving, and when trying new foods. Ask your doctor what's right for you."
